"company_name","city","state","zip","agency","certification_type","ethnicity","commodity_code"
"Chicago Communications, LLC","Elmhurst","IL",60126,"Cook County","WBE","Caucasian","238210 - Telecommunications equipment and wiring (except transmission line) installation contractors; 5179 - Other Telecommunications; 532490 - Telecommunications equipment rental or leasing"
"Chem TS, Inc.","Wheeling","IL",60090,"Chicago","MBE","Asian American","424320 - Men's and boys' clothing merchant wholesalers; 424320 - Men's and boys' furnishings (except shoes) merchant wholesalers; 424690 - Acids merchant wholesalers; 424690 - Adhesives and sealants merchant wholesalers; 424690 - Alcohol, industrial, merchant wholesalers; 424690 - Carbon black merchant wholesalers; 424690 - Chemical additives (e.g., concrete, food, fuel, oil) merchant wholesalers; 424690 - Chemical gases merchant wholesalers; 424690 - Compressed gases (except LP gas) merchant wholesalers; 424690 - Gases, compressed and liquefied (except liquefied petroleum gas), merchant wholesalers; 424690 - Glues merchant wholesalers; 424690 - Industrial chemicals merchant wholesalers; 424690 - Resins, synthetic rubber, merchant wholesalers; 424690 - Rosins merchant wholesalers"
"Cheri K Lewis Engineers LLC","Chicago","IL",60642,"Chicago","WBE","African American","237310 - Construction management, highway, road, street and bridge; 541330 - Civil engineering services; 541330 - Engineering consulting services; 541330 - Erosion control engineering services"
"Cheri K Lewis Engineers LLC","Chicago","IL",60642,"Chicago","MBE","African American","237310 - Construction management, highway, road, street and bridge; 541330 - Civil engineering services; 541330 - Engineering consulting services; 541330 - Erosion control engineering services"
"Cheri K Lewis Engineers LLC","Chicago","IL",60642,"Chicago","WBE","African American","237310 - Construction management, highway, road, street and bridge; 541330 - Civil engineering services; 541330 - Engineering consulting services; 541330 - Erosion control engineering services"
"Cheri K Lewis Engineers LLC","Chicago","IL",60642,"Chicago","MBE","African American","237310 - Construction management, highway, road, street and bridge; 541330 - Civil engineering services; 541330 - Engineering consulting services; 541330 - Erosion control engineering services"
"CHI SERVICES INC","South Holland","IL",60473,"Chicago","WBE","African American","541199 - Notary public services; 541213 - Tax Preparation Services; 541214 - Payroll Services; 541219 - Bookkeeping services"
"CHI SERVICES INC","South Holland","IL",60473,"Chicago","VBE","African American","541199 - Notary public services; 541213 - Tax Preparation Services; 541214 - Payroll Services; 541219 - Bookkeeping services"
"CHI SERVICES INC","South Holland","IL",60473,"Chicago","MBE","African American","541199 - Notary public services; 541213 - Tax Preparation Services; 541214 - Payroll Services; 541219 - Bookkeeping services"
"CHI SERVICES INC","South Holland","IL",60473,"Chicago","BEPD","African American","541199 - Notary public services; 541213 - Tax Preparation Services; 541214 - Payroll Services; 541219 - Bookkeeping services"
"CHI SERVICES INC","South Holland","IL",60473,"Chicago","WBE","African American","541199 - Notary public services; 541213 - Tax Preparation Services; 541214 - Payroll Services; 541219 - Bookkeeping services"
"CHI SERVICES INC","South Holland","IL",60473,"Chicago","VBE","African American","541199 - Notary public services; 541213 - Tax Preparation Services; 541214 - Payroll Services; 541219 - Bookkeeping services"
"CHI SERVICES INC","South Holland","IL",60473,"Chicago","MBE","African American","541199 - Notary public services; 541213 - Tax Preparation Services; 541214 - Payroll Services; 541219 - Bookkeeping services"
"CHI SERVICES INC","South Holland","IL",60473,"Chicago","BEPD","African American","541199 - Notary public services; 541213 - Tax Preparation Services; 541214 - Payroll Services; 541219 - Bookkeeping services"
"CHI SERVICES INC","South Holland","IL",60473,"Chicago","WBE","African American","541199 - Notary public services; 541213 - Tax Preparation Services; 541214 - Payroll Services; 541219 - Bookkeeping services"
"CHI SERVICES INC","South Holland","IL",60473,"Chicago","VBE","African American","541199 - Notary public services; 541213 - Tax Preparation Services; 541214 - Payroll Services; 541219 - Bookkeeping services"
"CHI SERVICES INC","South Holland","IL",60473,"Chicago","MBE","African American","541199 - Notary public services; 541213 - Tax Preparation Services; 541214 - Payroll Services; 541219 - Bookkeeping services"
"CHI SERVICES INC","South Holland","IL",60473,"Chicago","BEPD","African American","541199 - Notary public services; 541213 - Tax Preparation Services; 541214 - Payroll Services; 541219 - Bookkeeping services"
"CHI SERVICES INC","South Holland","IL",60473,"Chicago","WBE","African American","541199 - Notary public services; 541213 - Tax Preparation Services; 541214 - Payroll Services; 541219 - Bookkeeping services"
"CHI SERVICES INC","South Holland","IL",60473,"Chicago","VBE","African American","541199 - Notary public services; 541213 - Tax Preparation Services; 541214 - Payroll Services; 541219 - Bookkeeping services"
"CHI SERVICES INC","South Holland","IL",60473,"Chicago","MBE","African American","541199 - Notary public services; 541213 - Tax Preparation Services; 541214 - Payroll Services; 541219 - Bookkeeping services"
"CHI SERVICES INC","South Holland","IL",60473,"Chicago","BEPD","African American","541199 - Notary public services; 541213 - Tax Preparation Services; 541214 - Payroll Services; 541219 - Bookkeeping services"
